Date,Close
1/16/2014,90.36
1/17/2014,90.23
1/21/2014,90.13
1/22/2014,89.51
1/23/2014,87.51
1/24/2014,84.36
1/27/2014,83.39
1/28/2014,84.46
1/29/2014,83.82
1/30/2014,85.21
1/31/2014,84.39
2/3/2014,80.45
2/4/2014,82.52
2/5/2014,82.72
2/6/2014,82.25
2/7/2014,83.41
2/10/2014,82.79
2/11/2014,84.53
2/12/2014,84.34
2/13/2014,84.62
2/14/2014,84.99
2/18/2014,85.41
2/19/2014,84.28
2/20/2014,84.49
2/21/2014,83.93
2/24/2014,84.96
2/25/2014,84.12
2/26/2014,84.16
2/27/2014,84.16
2/28/2014,84.58
3/3/2014,82.99
3/4/2014,85.33
3/5/2014,86
3/6/2014,86.77
3/7/2014,88.58
3/10/2014,88.35
3/11/2014,87.45
3/12/2014,86.4
3/13/2014,84.37
3/14/2014,83.73
3/17/2014,83.92
3/18/2014,84.88
3/19/2014,85.61
3/20/2014,87.69
3/21/2014,86.84
3/24/2014,86.91
3/25/2014,87.2
3/26/2014,85.18
3/27/2014,83.31
3/28/2014,83.59
3/31/2014,84.65
4/1/2014,85.82
4/2/2014,86.32
4/3/2014,86.5
4/4/2014,84.33
4/7/2014,81.17
4/8/2014,81.11
4/9/2014,82.22
4/10/2014,79.43
4/11/2014,77.61
4/14/2014,78.4
4/15/2014,78.61
4/16/2014,80.09
4/17/2014,80.92
4/21/2014,81
4/22/2014,82.28
4/23/2014,82.13
4/24/2014,81.91
4/25/2014,80.68
4/28/2014,79.83
4/29/2014,80.74
4/30/2014,80.68
5/1/2014,81.17
5/2/2014,82.05
5/5/2014,82.36
5/6/2014,80.11
5/7/2014,80.9
5/8/2014,83.25
5/9/2014,83.75
5/12/2014,84.81
5/13/2014,84.46
5/14/2014,82.44
5/15/2014,79.98
5/16/2014,79.6
5/19/2014,80.97
5/20/2014,80.31
5/21/2014,81.09
5/22/2014,81.46
5/23/2014,81.72
5/27/2014,83.11
5/28/2014,81.84
5/29/2014,82.13
5/30/2014,82.16
6/2/2014,84.02
6/3/2014,86.03
6/4/2014,88.09
